order_id,marketplace_region,category,fabric,price_usd,discount_pct,is_premium,size_ordered,size_usual,size_mismatch,ordered_multiple_sizes,fit_type,customer_prior_orders,customer_prior_return_rate,avg_review_rating,num_reviews,reviews_read,size_chart_viewed,model_shown,is_gift,device,days_to_delivery,return_shipping_free,return_reason,returned
ORD000000,FR,shoes,silk,183.72,30,1,0,0,0,0,regular,7,0.139,3.63,111,0,1,1,0,desktop,5,0,not_returned,0
ORD000001,NL,dress,denim,96.76,30,0,6,6,0,0,regular,6,0.455,3.65,119,1,1,1,0,mobile,10,1,poor_fit,1
ORD000002,IT,dress,denim,217.0,10,1,4,2,2,0,slim,4,0.36,4.25,121,0,0,1,0,desktop,5,1,size_too_large,1
ORD000003,US,dress,polyester,92.73,20,0,3,1,2,0,true_to_size,5,0.413,4.61,108,1,1,1,0,mobile,1,0,quality_defect,1
ORD000004,ES,accessories,jersey,41.97,30,0,3,2,1,0,regular,3,0.465,4.34,143,0,1,1,0,mobile,5,1,not_returned,0
ORD000005,NL,activewear,linen,71.31,0,0,4,6,2,0,regular,7,0.211,3.68,105,0,0,0,0,desktop,2,1,size_too_small,1
ORD000006,NL,trousers,cotton_stretch,41.69,0,0,4,4,0,0,true_to_size,5,0.284,4.78,130,0,0,1,0,mobile,8,1,not_returned,0
ORD000007,CN,trousers,jersey,45.88,10,0,6,5,1,0,slim,10,0.262,4.51,117,1,1,1,0,mobile,10,1,not_returned,0
ORD000008,US,dress,blend,31.11,30,0,0,0,0,1,regular,4,0.271,4.07,116,1,0,0,1,mobile,5,0,not_returned,0
ORD000009,NL,dress,jersey,167.16,30,1,1,0,1,0,regular,4,0.196,4.9,106,0,0,1,0,mobile,10,0,not_returned,0
ORD000010,DE,jeans,denim,65.66,30,0,0,0,0,0,oversized,8,0.068,4.33,111,0,0,1,0,desktop,10,1,not_returned,0
ORD000011,DE,shoes,cotton,91.77,0,0,6,6,0,0,slim,3,0.283,4.29,111,1,1,1,0,mobile,4,1,not_returned,0
ORD000012,FR,jacket,jersey,109.52,20,1,3,5,2,0,oversized,5,0.289,4.12,116,1,0,1,0,desktop,4,1,size_too_small,1
ORD000013,US,activewear,polyester,63.67,10,0,4,4,0,0,regular,6,0.247,4.4,123,1,0,0,1,mobile,1,1,not_returned,0
ORD000014,ES,lingerie,silk,34.3,20,0,0,0,0,0,regular,4,0.127,4.07,117,1,0,1,0,mobile,1,1,not_returned,0
ORD000015,FR,dress,cotton_stretch,116.35,10,1,5,4,1,0,regular,7,0.449,3.93,119,1,0,1,0,mobile,10,1,poor_fit,1
ORD000016,NL,dress,jersey,135.04,40,1,6,5,1,0,slim,3,0.656,4.52,137,0,1,1,0,mobile,6,0,not_returned,0
ORD000017,DE,trousers,polyester,33.19,20,0,6,6,0,1,regular,9,0.331,3.98,111,0,0,1,0,desktop,11,1,not_returned,0
ORD000018,DE,t_shirt,cotton,42.9,0,0,2,3,1,0,slim,8,0.17,3.21,116,1,0,1,0,desktop,11,0,not_returned,0
ORD000019,UK,jeans,wool,82.82,20,0,4,4,0,0,regular,8,0.27,3.69,126,0,0,1,0,mobile,6,1,not_returned,0
ORD000020,FR,trousers,denim,50.38,0,0,2,2,0,0,true_to_size,6,0.135,4.23,111,1,1,1,1,desktop,11,0,not_returned,0
ORD000021,IT,dress,jersey,68.56,40,0,1,1,0,0,true_to_size,3,0.088,4.46,109,1,1,1,0,desktop,10,0,wrong_color,1
